,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature,Wind Speed
0,norman wells,90,CA,1578774781,70,65.28,-126.83,-2.2,10.29
1,lara,90,AU,1578774781,93,-38.02,144.4,56.26,8.05
2,east london,78,ZA,1578774781,89,-33.02,27.91,74.37,10.33
3,hobart,75,AU,1578774648,54,-42.88,147.33,55.62,5.82
4,rikitea,20,PF,1578774781,80,-23.12,-134.97,75.7,18.63
5,los llanos de aridane,75,ES,1578774781,68,28.66,-17.92,60.55,14.99
6,hami,0,CN,1578774781,53,42.8,93.45,13.48,5.32
7,barrow,40,US,1578774782,75,71.29,-156.79,-18.4,19.46
8,faanui,72,PF,1578774782,79,-16.48,-151.75,81.64,19.73
9,kahului,75,US,1578774687,88,20.89,-156.47,71.8,17.22
10,khani,75,GE,1578774782,93,41.96,42.96,39.2,4.7
11,inirida,41,CO,1578774782,51,3.87,-67.92,89.71,3.38
12,sibut,5,CF,1578774782,31,5.72,19.07,73.98,2.33
13,kitgum,46,UG,1578774783,28,3.28,32.89,73.09,1.25
14,joshimath,38,IN,1578774783,44,30.57,79.57,32.63,10.25
15,bayan,100,CN,1578774783,99,46.08,127.4,-10.07,5.7
16,nikolskoye,100,RU,1578774783,45,59.7,30.79,32.7,4.47
17,port augusta,0,AU,1578774783,72,-32.5,137.77,58.23,12.75
18,avarua,8,CK,1578774784,94,-21.21,-159.78,78.8,16.11
19,carnarvon,43,AU,1578774784,74,-24.87,113.63,78.8,9.17
20,punta arenas,90,CL,1578774784,81,-53.15,-70.92,53.28,6.93
21,bluff,39,NZ,1578774784,57,-46.6,168.33,64.0,5.99
22,dikson,100,RU,1578774784,96,73.51,80.55,1.74,9.31
23,karratha,100,AU,1578774784,68,-20.74,116.85,84.33,11.14
24,sitka,1,US,1578774784,52,57.05,-135.33,16.56,9.17
25,yerbogachen,100,RU,1578774785,94,61.28,108.01,-4.9,12.1
26,ponta do sol,75,PT,1578774785,59,32.67,-17.1,57.81,12.75
27,yicheng,0,CN,1578774785,76,31.37,119.87,38.23,1.01
28,hilo,40,US,1578774783,74,19.73,-155.09,72.23,10.29
29,vaini,40,TO,1578774785,78,-21.2,-175.2,82.4,9.17
30,ushuaia,75,AR,1578774614,66,-54.8,-68.3,53.6,20.8
31,ancud,75,CL,1578774786,72,-41.87,-73.82,62.6,6.93
32,albany,75,US,1578774684,55,42.6,-73.97,61.68,21.92
33,forest grove,75,US,1578774548,74,45.52,-123.11,43.7,6.93
34,vostok,100,RU,1578774786,97,46.49,135.88,-7.83,4.63
35,jalpan,99,MX,1578774786,64,21.23,-99.48,62.37,7.05
36,esperance,0,AU,1578774786,77,-33.87,121.9,60.8,14.99
37,tura,0,IN,1578774787,76,25.52,90.22,56.61,3.87
38,tarauaca,0,BR,1578774787,58,-8.16,-70.77,87.19,2.46
39,severo-kurilsk,100,RU,1578774787,90,50.68,156.12,18.75,15.37
40,lebu,0,CL,1578774787,55,-37.62,-73.65,67.1,11.52
41,felanitx,20,ES,1578774787,93,39.47,3.15,46.36,6.98
42,sambava,81,MG,1578774788,91,-14.27,50.17,71.37,2.1
43,cape town,0,ZA,1578774526,82,-33.93,18.42,68.25,11.41
44,evensk,100,RU,1578774788,95,61.95,159.23,-5.76,9.22
45,hvolsvollur,82,IS,1578774788,94,63.75,-20.22,26.01,8.01
46,okhotsk,100,RU,1578774788,84,59.38,143.3,-10.88,8.59
47,khatanga,100,RU,1578774788,90,71.97,102.5,8.83,11.27
48,paragominas,89,BR,1578774789,94,-2.97,-47.48,77.02,3.47
49,dunedin,22,NZ,1578774789,63,-45.87,170.5,64.0,8.99
50,mataura,35,NZ,1578774789,57,-46.19,168.86,64.0,5.99
51,souillac,40,MU,1578774789,88,-20.52,57.52,77.72,8.05
52,atuona,0,PF,1578774790,74,-9.8,-139.03,81.05,16.89
53,butaritari,96,KI,1578774790,77,3.07,172.79,83.41,11.83
